caption,address
ﾖﾄﾞﾊﾞｼﾏﾙﾁﾒﾃﾞｨｱ梅田店,大阪府大阪市　北区大深町１－１
アル・プラザ鶴見,岐阜県　大垣市　鶴見町字上渡瀬６４１－２１Ｆ資生堂コーナー
フレンドマート開発店,福井県福井市開発２丁目１０１番地
アルプラフーズ大河端,石川県金沢市大河端町西２丁目１５番
平和堂江南店,愛知県江南市上奈良町栄６１－３１Ｆ資生堂コーナー
アル・プラザ津幡,石川県河北郡　津幡町北中条１丁目１
アル・プラザ小松,石川県小松市園町ハ２３番地１
アル・プラザ鹿島,石川県鹿島郡中能登町井田と１の１
アル・プラザ加賀,石川県加賀市作見町ル－６５番地
アル･プラザ　ベル,福井県福井市花堂南２丁目１６－１
アル・プラザ　アミ,福井県坂井市春江町随応寺第１６－１１
アル・プラザ　武生,福井県越前市府中１丁目１１－２
アル・プラザ金沢,石川県金沢市諸江町３０－１
アル･プラザ敦賀,福井県敦賀市白銀町１１－５
アル・プラザ鯖江,福井県鯖江市下河端町１６字下町１６－１
アル・プラザ富山,富山県富山市婦中町下轡田１６５番地１
アル・プラザ小杉,富山県射水市三ケ２６０２
アル・プラザ水口,滋賀県甲賀市水口町　綾野５６６－１
アル・プラザ草津,滋賀県草津市西渋川１丁目２３番３０号
ビバシティ平和堂,滋賀県彦根市竹ヶ鼻町４３番地の１
アル・プラザ堅田,滋賀県大津市本堅田５丁目２０－１５
アル・プラザ瀬田,滋賀県大津市月輪１丁目３－８
アル・プラザあまがさき,兵庫県尼崎市潮江１丁目３番１号
平和堂あどがわ店,滋賀県高島市安曇川町　西万木５５番地
フレンドマート日野店,滋賀県蒲生郡　日野町大字松尾８４４
フレンドマート長浜駅前,滋賀県長浜市北船町１番１５号
アル・プラザ枚方,大阪府枚方市津田元町１丁目４番１号
アル・プラザ香里園,大阪府　寝屋川市　日新町５番５号
平和堂真砂店,大阪府茨木市真砂１丁目１１－３５
アル・プラザ茨木,大阪府茨木市上郡２丁目１２－８
アル・プラザ亀岡,京都府亀岡市篠町野条上又１１番地１
